icao;iata;nome;state;country;continent;coordinates
SBAX;AAX;Romeu Zema;MG;BRASIL;AMÉRICA DO SUL;-46.960399627686, -19.563199996948
DIAP;ABJ;Port Bouet;;COSTA DO MARFIM;ÁFRICA;-3.9262900352478027, 5.261390209197998
MMAA;ACA;General Juan N Alvarez International;;MÉXICO;AMÉRICA DO NORTE;-99.75399780273438, 16.757099151611328
DGAA;ACC;Kotoka International;;GANA;ÁFRICA;-0.16678600013256073, 5.605189800262451
GCRR;ACE;Lanzarote;;ESPANHA;EUROPA;-13.6052, 28.945499
LTBJ;ADB;Adnan Menderes International;;TURQUIA;ÁSIA;27.156999588, 38.2924003601
HAAB;ADD;Addis Ababa Bole International;;ETIÓPIA;ÁFRICA;38.799301147499996, 8.97789001465
KADS;ADS;Addison;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-96.8364028931, 32.9686012268
KADW;ADW;Joint Base Andrews;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-76.866997, 38.810799
SABE;AEP;Jorge Newbery Airpark;;ARGENTINA;AMÉRICA DO SUL;-58.4156, -34.5592
KAEX;AEX;Alexandria International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-92.54979705810547, 31.32740020751953
SBAT;AFL;Piloto Osvaldo Marques Dias;MT;BRASIL;AMÉRICA DO SUL;-56.1049995422, -9.8663892746
GMAD;AGA;Al Massira;;MARROCOS;ÁFRICA;-9.413069725036621, 30.325000762939453
LEMG;AGP;Málaga;;ESPANHA;EUROPA;-4.499110221862793, 36.67490005493164
SGES;AGT;Guarani International;;PARAGUAI;AMÉRICA DO SUL;-54.842682, -25.454516
SBAR;AJU;Santa Maria;SE;BRASIL;AMÉRICA DO SUL;-37.0703010559, -10.984000206
DAAG;ALG;Houari Boumediene;;ARGÉLIA;ÁFRICA;3.215409994125366, 36.691001892089844
KAMA;AMA;Rick Husband Amarillo International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-101.706001, 35.219398
SNAR;AMJ;Cirilo Queiróz;MG;BRASIL;AMÉRICA DO SUL;-40.66722, -16.18389
EHAM;AMS;Amsterdam Schiphol International;;HOLANDA;EUROPA;4.76389, 52.308601
PANC;ANC;Ted Stevens Anchorage International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-149.99600219726562, 61.174400329589844
SCFA;ANF;AndrÃ©s Sabella GÃ¡lvez International;;CHILE;AMÉRICA DO SUL;-70.445099, -23.444501
SSOG;APX;Arapongas;PR;BRASIL;AMÉRICA DO SUL;-51.491699, -23.3529
SBAQ;AQA;Araraquara;SP;BRASIL;AMÉRICA DO SUL;-48.1329994202, -21.812000274699997
OJAQ;AQJ;Aqaba King Hussein International;;JORDANIA;ÁSIA;35.01810073852539, 29.611600875854492
SPQU;AQP;RodrÃ­guez BallÃ³n International;;PERU;AMÉRICA DO SUL;-71.5830993652, -16.3411006927
SCAR;ARI;Chacalluta;;CHILE;AMÉRICA DO SUL;-70.338699, -18.348499
ESSA;ARN;Stockholm-Arlanda;;SUÉCIA;EUROPA;17.918600082397, 59.651901245117
SBAU;ARU;Araçatuba;SP;BRASIL;AMÉRICA DO SUL;-50.4247016907, -21.1413002014
SBAC;ARX;Aracati;CE;BRASIL;AMÉRICA DO SUL;-37.804722, -4.568611
SGAS;ASU;Silvio Pettirossi International;;PARAGUAI;AMÉRICA DO SUL;-57.52000045776367, -25.239999771118164
LGAV;ATH;Eleftherios Venizelos International;;GRÉCIA;EUROPA;23.9444999695, 37.9364013672
KATL;ATL;Hartsfield Jackson Atlanta International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-84.428101, 33.6367
SBHT;ATM;Altamira;PA;BRASIL;AMÉRICA DO SUL;-52.254001617432, -3.2539100646973
TNCA;AUA;Queen Beatrix International;;ARUBA;AMÉRICA DO SUL;-70.015198, 12.5014
OMAA;AUH;Abu Dhabi International;;EMIRADOS ÁRABES UNIDOS;ÁSIA;54.651100158691406, 24.433000564575195
KAUS;AUS;Austin Bergstrom International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-97.6698989868164, 30.194499969482422
SWGN;AUX;Araguaína;TO;BRASIL;AMÉRICA DO SUL;-48.240501, -7.22787
KIWA;AZA;Phoenix-Mesa-Gateway;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-111.6549988, 33.30780029
OBBI;BAH;Bahrain International;;BAHREIN;ÁSIA;50.63359832763672, 26.27079963684082
SKBQ;BAQ;Ernesto Cortissoz International;;COLOMBIA;AMÉRICA DO SUL;-74.7808, 10.8896
SBBU;BAU;Bauru;SP;BRASIL;AMÉRICA DO SUL;-49.0537986755, -22.3449993134
SWBC;BAZ;Barcelos;AM;BRASIL;AMÉRICA DO SUL;-62.919601, -0.981292
LEBL;BCN;Barcelona International;;ESPANHA;EUROPA;2.07846, 41.2971
SWNK;BCR;Novo Campo;AM;BRASIL;AMÉRICA DO SUL;-67.312401, -8.83456
KBDL;BDL;Bradley International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-72.68319702149999, 41.9388999939
SBBE;BEL;Val de Cans/Júlio Cezar Ribeiro International;PA;BRASIL;AMÉRICA DO SUL;-48.4762992859, -1.3792500495900002
LFRB;BES;Brest Bretagne;;FRANÇA;EUROPA;-4.418540000915527, 48.447898864746094
KBFI;BFI;Boeing Field King County International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-122.302001953125, 47.529998779296875
TBPB;BGI;Grantley Adams International;;BARBADOS;AMÉRICA CENTRAL;-59.4925, 13.0746
KBGR;BGR;Bangor International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-68.8281021118164, 44.80739974975586
SBBG;BGX;Comandante Gustavo Kraemer;RS;BRASIL;AMÉRICA DO SUL;-54.112201690674, -31.39049911499
KBHM;BHM;Birmingham-Shuttlesworth International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-86.75350189, 33.56290054
EGBB;BHX;Birmingham International;;REINO UNIDO;EUROPA;-1.74802994728, 52.453899383499994
GBYD;BJL;Banjul International;;GAMBIA;ÁFRICA;-16.65220069885254, 13.338000297546387
GABS;BKO;Modibo Keita International;;MALI;ÁFRICA;-7.94994, 12.5335
SVBC;BLA;General JosÃ© Antonio Anzoategui International;;VENEZUELA;AMÉRICA DO SUL;-64.692222, 10.111111
SVBI;BNS;Barinas;;VENEZUELA;AMÉRICA DO SUL;-70.21416667, 8.615
SKBO;BOG;El Dorado International;;COLOMBIA;AMÉRICA DO SUL;-74.1469, 4.70159
VABB;BOM;Chhatrapati Shivaji International;;ÍNDIA;ÁSIA;72.8678970337, 19.0886993408
KBOS;BOS;General Edward Lawrence Logan International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-71.00520325, 42.36429977
SBBW;BPG;Barra do Garças;MT;BRASIL;AMÉRICA DO SUL;-52.3889007568, -15.861300468400001
SBPS;BPS;Porto Seguro;BA;BRASIL;AMÉRICA DO SUL;-39.080898, -16.438601
TJBQ;BQN;Rafael Hernandez;;PORTO RICO;AMÉRICA CENTRAL;-67.12940216064453, 18.49489974975586
SNBR;BRA;Barreiras;BA;BRASIL;AMÉRICA DO SUL;-45.00899887084961, -12.078900337219238
SAZS;BRC;San Carlos De Bariloche;;ARGENTINA;AMÉRICA DO SUL;-71.157501, -41.151199
SVBM;BRM;Barquisimeto International;;VENEZUELA;AMÉRICA DO SUL;-69.3586196899414, 10.042746543884277
EBBR;BRU;Brussels;;BÉLGICA;EUROPA;4.48443984985, 50.901401519800004
SBBR;BSB;Presidente Juscelino Kubitschek International;DF;BRASIL;AMÉRICA DO SUL;-47.920834, -15.869167
LFSB;BSL;EuroAirport Basel-Mulhouse-Freiburg;;FRANÇA;EUROPA;7.529167, 47.59
LZIB;BTS;Bratislava;;ESLOVÁQUIA;EUROPA;17.21269989013672, 48.17020034790039
SBBV;BVB;Atlas Brasil Cantanhede;RR;BRASIL;AMÉRICA DO SUL;-60.6922225952, 2.84138894081
SBVH;BVH;Brigadeiro Camarão;RO;BRASIL;AMÉRICA DO SUL;-60.098300933838, -12.694399833679
SNVS;BVS;Breves;PA;BRASIL;AMÉRICA DO SUL;-50.443599700927734, -1.6365300416946411
SBDB;BYO;Bonito;MS;BRASIL;AMÉRICA DO SUL;-56.4525, -21.2473
SBCA;CAC;Cascavel;PR;BRASIL;AMÉRICA DO SUL;-53.500801086399996, -25.0002994537
SWCA;CAF;Carauari;AM;BRASIL;AMÉRICA DO SUL;-66.89749908447266, -4.871520042419434
HECA;CAI;Cairo International;;EGITO;ÁFRICA;31.40559959411621, 30.12190055847168
ZGGG;CAN;Guangzhou Baiyun International;;CHINA;ÁSIA;113.29900360107422, 23.39240074157715
SNRU;CAU;Caruaru;PE;BRASIL;AMÉRICA DO SUL;-36.01350021362305, -8.282389640808105
SBCP;CAW;Bartolomeu Lisandro;RJ;BRASIL;AMÉRICA DO SUL;-41.301700592, -21.698299408
SOCA;CAY;Cayenne-Rochambeau;;GUIANA FRANCESA;AMÉRICA DO SUL;-52.360401153599994, 4.819809913639999
SLCB;CBB;Jorge Wilsterman International;;BOLÍVIA;AMÉRICA DO SUL;-66.1771011352539, -17.421100616455078
SSKM;CBW;Campo Mourão;PR;BRASIL;AMÉRICA DO SUL;-52.3568000793, -24.009199142499998
SBCM;CCM;Diomício Freitas;SC;BRASIL;AMÉRICA DO SUL;-49.4213905334, -28.7244434357
SCIE;CCP;Carriel Sur;;CHILE;AMÉRICA DO SUL;-73.063103, -36.772701
SVMI;CCS;SimÃ³n BolÃ­var International;;VENEZUELA;AMÉRICA DO SUL;-66.991222, 10.601194
LFPG;CDG;Charles de Gaulle International;;FRANÇA;EUROPA;2.55, 49.012798
