airport_iata,airport_icao,lat,lon,name,city,country
AEP,SABE,-34.5617,-58.4113,Aeroparque Jorge Newbery,Buenos Aires,Argentina
EZE,SAEZ,-34.82,-58.5333,Ministro Pistarini International Airport,Ezeiza,Argentina
MDZ,KMDZ,-32.8319,-68.7847,El Plumerillo Airport,Mendoza,Argentina
BRC,SAZS,-41.1511,-71.1581,San Carlos de Bariloche Airport,San Carlos DeBariloche,Argentina
USH,SAWH,-54.8176,-68.326,Ushuaia Airport,Ushuaia,Argentina
AUA,TNCA,12.5022,-70.0139,Reina Beatrix International Airport,Aruba,Aruba
SYD,YSSY,-33.9344,151.168,Kingsford Smith Airport,Sydney,Australia
KLU,LOWK,46.6428,14.3429,Klagenfurt Airport,Celovec,Austria
GRZ,LOWG,46.9902,15.4389,Graz Airport,Feldkirchen,Austria
INN,LOWI,47.2591,11.3566,Innsbruck Airport,Innsbruck,Austria
VIE,LOWW,48.1036,16.5804,Vienna Schwechat International Airport,Klein-Neusiedl,Austria
NAS,MYNN,25.0406,-77.4719,Nassau International Airport,Nassau,Bahamas
LPB,SLLP,-16.5094,-68.1906,El Alto International Airport,La Paz,Bolivia
AFL,SBAT,-9.8661,-56.1044,Alta Floresta Airport,Alta Floresta,Brazil
ATM,SBHT,-3.2506,-52.2517,Altamira Airport,Altamira,Brazil
AJU,SBAR,-10.985,-37.0733,Santa Maria Airport,Aracaju,Brazil
ARU,SBAU,-21.1436,-50.4261,Aracatuba Airport,Araçatuba,Brazil
AAX,SBAX,-19.5603,-46.9653,Romeu Zuma Airport,Araxá,Brazil
BAU,SBBU,-22.345,-49.0531,Bauru Airport,Bauru,Brazil
BEL,SBBE,-1.3844,-48.4783,Val de Caes International Airport,Belem,Brazil
PLU,SBBH,-19.8517,-43.9508,Pampulha Airport,Belo Horizonte,Brazil
BVB,SBBV,2.8417,-60.6917,Boa Vista International Airport,Boa Vista,Brazil
CPV,SBKG,-7.2689,-35.8947,Presidente Joao Suassuna Airport,Campina Grande,Brazil
VCP,SBKP,-23.0067,-47.1344,Viracopos International Airport,Campinas,Brazil
CGR,SBCG,-20.475,-54.6736,Campo Grande International Airport,Campo Grande,Brazil
XAP,SBCH,-27.1325,-52.6611,Chapeco Airport,Chapeco,Brazil
CNF,SBCF,-19.6242,-43.9717,Tancredo Neves International Airport,Confins,Brazil
CMG,SBCR,-19.0055,-57.7055,Corumba International Airport,Corumba,Brazil
CGB,SBCY,-15.6497,-56.1169,Marechal Rondon International Airport,Cuiaba,Brazil
FOR,SBFZ,-3.7758,-38.5322,Pinto Martins International Airport,Fortaleza,Brazil
IGU,SBFI,-25.5958,-54.4864,Cataratas International Airport,Foz do Iguacu,Brazil
GRU,SBGR,-23.435,-46.4728,Governador Andre Franco Montoro International Ai,Guarulhos,Brazil
BSB,SBBR,-15.8622,-47.9122,Juscelino Kubitschek International Airport,Lago Sul,Brazil
MCZ,KMCZ,-9.5117,-35.8,Zumbi dos Palmares International Airport,Maceio,Brazil
MAO,KMAO,-3.0392,-60.0469,Eduardo Gomes International Airport,Manaus,Brazil
NAT,SBNT,-5.84694,-35.2145,Augusto Severo International Airport,Natal,Brazil
POA,SBPA,-29.9933,-51.1708,Salgado Filho International Airport,Porto Alegre,Brazil
BPS,SBPS,-16.4406,-39.0833,Porto Seguro Airport,Porto Seguro,Brazil
REC,SBRF,-8.1261,-34.9225,Gilberto Freyre International Airport,Recife,Brazil
GIG,SBGL,-22.8094,-43.25,Rio de Janeiro-Antonio Carlos Jobim Internationa,Rio de Janeiro,Brazil
SDU,SBRJ,-22.9107,-43.1707,Santos Dumont Airport,Rio de Janeiro,Brazil
SSA,SBSV,-12.9081,-38.3222,Deputado Luis Eduardo Magalhaes International Ai,Salvador,Brazil
RIA,KRIA,-29.7106,-53.6875,Santa Maria Airport,Santa Maria,Brazil
JPA,SBJP,-7.1481,-34.9506,Presidente Castro Pinto International Airport,Santa Rita,Brazil
CWB,SBCT,-25.5275,-49.1731,Afonso Pena International Airport,Sao Jose dos Pinhais,Brazil
CGH,SBSP,-23.6285,-46.6589,Congonhas International Airport,Sao Paulo,Brazil
VIX,SBVT,-20.2578,-40.2864,Goiabeiras Airport,Vitoria,Brazil
YYC,CYYC,51.1343,-114.007,Calgary International Airport,Calgary,Canada
YUL,CYUL,45.4562,-73.7473,Aéroport International Pierre-Elliott-Trudeau d,Dorval,Canada
YYZ,CYYZ,43.685,-79.6142,Toronto Lester B Pearson International Airport,Mississauga,Canada
YOW,CYOW,45.3248,-75.6666,Ottawa International Airport,Ottawa,Canada
CXH,CYHC,49.5912,-125.848,Coal Harbour Airport,Vancouver,Canada
SCL,SCEL,-33.39,-70.785,Arturo Merino Benitez International Airport,Lo Amor,Chile
PVG,KPVG,31.1156,121.803,Pudong International Airport,Huinan,China
JJN,ZBDX,24.9,118.583,Jinjiang,Jinjiang,China
JUZ,ZUJZ,36.8945,104.166,Juzhou,Juzhou,China
KMG,ZPPP,24.966,102.733,Wuchia Pa Airport,Kunming,China
LHW,KLHW,36.0167,103.75,Lanzhou Airport,Lanzhou,China
LXA,ZULS,29.6355,91.1646,Lhasa,Lhasa,China
LUM,KLUM,24.4833,98.5167,Mangshi,Luxi,China
NKG,ZSNG,32.0833,118.8,Nanjing Lukou International Airport,Nanjing,China
SHA,ZSSS,31.1865,121.34,Hongqiao Airport,Shanghai,China
SHE,ZYTX,41.7857,123.529,Dongta Airport,Shenyang,China
PEK,ZBAA,40.0724,116.583,Beijing Capital Airport,Shunyi,China
URC,ZWWW,43.9333,87.4667,Diwopu Airport,Urumqi,China
TAO,ZSQD,36.2311,120.389,Liuting Airport,Wanggezhuang,China
WUH,ZHHH,30.5069,114.31,Wuchang Nanhu Airport,Wuhan,China
XMN,ZSAM,24.5333,118.117,Xiamen Airport,Xiamen,China
XIY,ZLXY,34.3667,108.7,Hsien Yang Airport,Xianyang,China
XIC,ZUXC,27.9935,102.179,Xichang North Airport,Xichang,China
CGO,ZHCC,34.75,113.65,Zhengzhou Airport,Zhengzhou,China
AUC,SKUC,7.0703,-70.7406,Santiago Perez Airport,Arauca,Colombia
EJA,SKEJ,7.025,-73.8092,Yariguies Airport,Barrancabermeja,Colombia
BGA,SKBG,7.1217,-73.1883,Palonegro Airport,Bucaramanga,Colombia
BUN,SKBU,3.8183,-76.9931,Buenaventura Airport,Buenaventura,Colombia
