icao_code;iata_code;name;coordinates;elevation_ft;continent;iso_country;uf;municipality
SBAA;CDJ;Conceição do Araguaia Airport;-49.301498, -8.34835;653;SA;BR;PA;Conceição do Araguaia
SBAC;ARX;Aracati Airport;-37.804722, -4.568611;128;SA;BR;CE;Aracati
SBAQ;AQA;Araraquara Airport;-48.1329994202, -21.812000274699997;2334;SA;BR;SP;Araraquara
SBAR;AJU;Santa Maria Airport;-37.0703010559, -10.984000206;139;SA;BR;SE;Aracaju
SBAT;AFL;Piloto Osvaldo Marques Dias Airport;-56.1049995422, -9.8663892746;948;SA;BR;MT;Alta Floresta
SBAU;ARU;Araçatuba Airport;-50.4247016907, -21.1413002014;1361;SA;BR;SP;Araçatuba
SBAX;AAX;Romeu Zema Airport;-46.960399627686, -19.563199996948;3276;SA;BR;MG;Araxá
SBBE;BEL;Val de Cans/Júlio Cezar Ribeiro International Airport;-48.4762992859, -1.3792500495900002;54;SA;BR;PA;Belém
SBBG;BGX;Comandante Gustavo Kraemer Airport;-54.112201690674, -31.39049911499;600;SA;BR;RS;Bagé
SBBH;PLU;Pampulha - Carlos Drummond de Andrade Airport;-43.950599670410156, -19.851200103759766;2589;SA;BR;MG;Belo Horizonte
SBBI;BFH;Bacacheri Airport;-49.23199844359999, -25.4050998688;3057;SA;BR;PR;Curitiba
SBBP;BJP;Estadual Arthur Siqueira Airport;-46.537508, -22.979162;2887;SA;BR;SP;Bragança Paulista
SBBR;BSB;Presidente Juscelino Kubitschek International Airport;-47.920834, -15.869167;3497;SA;BR;DF;Brasília
SNBA;BAT;Chafei Amsei Airport;-48.594100952148, -20.584499359131;1898;SA;BR;SP;Barretos
SBBU;BAU;Bauru Airport;-49.0537986755, -22.3449993134;2025;SA;BR;SP;Bauru
SBBV;BVB;Atlas Brasil Cantanhede Airport;-60.6922225952, 2.84138894081;276;SA;BR;RR;Boa Vista
SBBW;BPG;Barra do Garças Airport;-52.3889007568, -15.861300468400001;1147;SA;BR;MT;Barra Do Garças
SSBZ;BZC;Umberto Modiano Airport;-41.96308, -22.770881;10;SA;BR;RJ;Cabo Frio
SBCA;CAC;Cascavel Airport;-53.500801086399996, -25.0002994537;2473;SA;BR;PR;Cascavel
SBCB;CFB;Cabo Frio Airport;-42.074298858599995, -22.921699523900003;23;SA;BR;RJ;Cabo Frio
SBCD;CFC;Caçador Airport;-50.9398002625, -26.78840065;3376;SA;BR;SC;Caçador
SBCF;CNF;Tancredo Neves International Airport;-43.97194290161133, -19.62444305419922;2715;SA;BR;MG;Belo Horizonte
SBCG;CGR;Campo Grande Airport;-54.6725006104, -20.468700408900002;1833;SA;BR;MS;Campo Grande
SBCH;XAP;Serafin Enoss Bertaso Airport;-52.656600952148, -27.134199142456;2146;SA;BR;SC;Chapecó
SBCI;CLN;Brig. Lysias Augusto Rodrigues Airport;-47.45869827270508, -7.32043981552124;565;SA;BR;MA;Carolina
SBCJ;CKS;Carajás Airport;-50.0013885498, -6.11527776718;2064;SA;BR;PA;Parauapebas
SBCM;CCM;Diomício Freitas Airport;-49.4213905334, -28.7244434357;93;SA;BR;SC;Criciúma
SBCN;CLV;Nelson Ribeiro Guimarães Airport;-48.607498168945, -17.725299835205;2247;SA;BR;GO;Caldas Novas
SBCP;CAW;Bartolomeu Lisandro Airport;-41.301700592, -21.698299408;57;SA;BR;RJ;Campos Dos Goytacazes
SBCR;CMG;Corumbá International Airport;-57.6713905334, -19.0119438171;461;SA;BR;MS;Corumbá
SBCT;CWB;Afonso Pena Airport;-49.1758003235, -25.5284996033;2988;SA;BR;PR;Curitiba
SSCV;CRQ;Caravelas Airport;-39.253101, -17.6523;36;SA;BR;BA;Caravelas
SBCX;CXJ;Hugo Cantergiani Regional Airport;-51.1875, -29.197099685699996;2472;SA;BR;RS;Caxias Do Sul
SBCY;CGB;Marechal Rondon Airport;-56.1166992188, -15.6528997421;617;SA;BR;MT;Cuiabá
SBCZ;CZS;Cruzeiro do Sul Airport;-72.769501, -7.59991;637;SA;BR;AC;Cruzeiro Do Sul
SBDB;BYO;Bonito Airport;-56.4525, -21.2473;1180;SA;BR;MS;Bonito
SBDN;PPB;Presidente Prudente Airport;-51.4245986938, -22.1751003265;1477;SA;BR;SP;Presidente Prudente
SBEG;MAO;Eduardo Gomes International Airport;-60.049702, -3.03861;264;SA;BR;AM;Manaus
SBEK;JCR;Jacareacanga Airport;-57.77690124511719, -6.233160018920898;323;SA;BR;PA;Jacareacanga
SBEP;ESI;Espinosa Airport;-42.81, -14.9336944444;1900;SA;BR;MG;Espinosa
SBFI;IGU;Cataratas International Airport;-54.48500061035156, -25.600278854370117;786;SA;BR;PR;Foz Do Iguaçu
SBFL;FLN;Hercílio Luz International Airport;-48.5525016784668, -27.670278549194336;16;SA;BR;SC;Florianópolis
SBFN;FEN;Fernando de Noronha Airport;-32.423302, -3.85493;193;SA;BR;PE;Fernando De Noronha
SBFZ;FOR;Pinto Martins International Airport;-38.53260040283203, -3.776279926300049;82;SA;BR;CE;Fortaleza
SBGL;GIG;Rio Galeão – Tom Jobim International Airport;-43.2505569458, -22.8099994659;28;SA;BR;RJ;Rio De Janeiro
SBGM;GJM;Guajará-Mirim Airport;-65.28479766845703, -10.786399841308594;478;SA;BR;RO;Guajará-Mirim
SBGO;GYN;Santa Genoveva Airport;-49.220699310302734, -16.631999969482422;2450;SA;BR;GO;Goiânia
SBGR;GRU;Guarulhos - Governador André Franco Montoro International Airport;-46.47305679321289, -23.435556411743164;2459;SA;BR;SP;São Paulo
SSGG;GPB;Tancredo Thomas de Faria Airport;-51.520199, -25.387501;3494;SA;BR;PR;Guarapuava
SBGV;GVR;Coronel Altino Machado de Oliveira Airport;-41.982200622559, -18.89520072937;561;SA;BR;MG;Governador Valadares
SBGW;GUJ;Guaratinguetá Airport;-45.20479965209961, -22.79159927368164;1761;SA;BR;SP;Guaratinguetá
SBHT;ATM;Altamira Airport;-52.254001617432, -3.2539100646973;369;SA;BR;PA;Altamira
SBIC;ITA;Itacoatiara Airport;-58.481201171875, -3.1272599697113037;142;SA;BR;AM;Itacoatiara
SBIH;ITB;Itaituba Airport;-56.000701904297, -4.2423400878906;110;SA;BR;PA;Itaituba
SBIL;IOS;Bahia - Jorge Amado Airport;-39.033199310303, -14.815999984741;15;SA;BR;BA;Ilhéus
SBIP;IPN;Usiminas Airport;-42.487598419189, -19.470699310303;784;SA;BR;MG;Ipatinga
SBIT;ITR;Francisco Vilela do Amaral Airport;-49.2134017944, -18.4447002411;1630;SA;BR;GO;Itumbiara
