continent,country,destination,airport_iata
south america,uruguai,uruguai,MVD
south america,uruguai,montevideu,MVD
south america,argentina,argentina,EZE
south america,argentina,buenos aires,EZE
south america,argentina,ushuaia,USH
south america,argentina,bariloche,BRC
south america,chile,chile,SCL
south america,chile,santiago,SCL
south america,bolivia,bolivia,LPB
south america,bolivia,la paz,LPB
south america,peru,peru,LIM
south america,peru,lima,LIM
south america,peru,macchu picchu,LIM
south america,equador,equador,UIO
south america,equador,quito,UIO
south america,colombia,colombia,BOG
south america,colombia,cali,BOG
south america,colombia,medellin,BOG
south america,colombia,medelin,BOG
south america,colombia,bogota,BOG
central america,dominican republic,punta cana,PUJ
central america,cuba,cuba,HAV
central america,cuba,havana,HAV
central america,panama,panama,PTY
central america,aruba,aruba,AUA
north america,mexico,cancun,CUN
north america,mexico,cidade do mexico,MEX
north america,usa,florida,MIA
north america,usa,miami,MIA
north america,usa,orlando,MCO
north america,usa,disney,MCO
north america,usa,nova york,JFK
north america,usa,nova iorque,JFK
north america,usa,new york,JFK
north america,usa,washington,DUL
north america,usa,filadelfia,DUL
north america,usa,boston,BOS
north america,usa,chicago,ORD
north america,usa,los angeles,LAX
north america,usa,san diego,SAN
north america,usa,las vegas,LAS
north america,usa,san francisco,SFO
north america,usa,seattle,SEA
north america,usa,aspen,DEN
north america,canada,canada,YYZ
north america,canada,toronto,YYZ
north america,canada,montreal,YUL
north america,canada,vancouver,YYC
europe,portugal,portugal,LIS
europe,portugal,lisboa,LIS
europe,portugal,porto,OPO
europe,spain,espanha,MAD
europe,spain,madri,MAD
europe,spain,madrid,MAD
europe,spain,ibiza,MAD
europe,spain,barcelona,BCN
europe,france,frança,CDG
europe,france,paris,CDG
europe,italy,italia,FCO
europe,italy,roma,FCO
europe,italy,milao,MXP
europe,italy,veneza,VCE
europe,netherlands,holanda,AMS
europe,netherlands,amsterdam,AMS
europe,uk,inglaterra,LHR
europe,uk,londres,LHR
europe,uk,edimburgo,LHR
europe,uk,liverpool,LHR
europe,ireland,irlanda,DUB
europe,ireland,dublin,DUB
europe,germany,alemanha,FRA
europe,germany,berlim,BER
europe,germany,frankfurt,FRA
europe,germany,munique,MUC
europe,switzerland,suiça,ZRH
europe,switzerland,zurique,ZRH
europe,czech republic,republica checa,PRG
europe,czech republic,praga,PRG
europe,hungary,hungria,BUD
europe,hungary,budapeste,BUD
europe,austria,austria,VIE
europe,austria,viena,VIE
europe,poland,polonia,WAW
europe,poland,varsóvia,WAW
europe,russia,russia,SVO
europe,russia,moscou,SVO
europe,finland,finlandia,HEL
europe,finland,helsinki,HEL
europe,norway,noruega,OSL
europe,norway,oslo,OSL
europe,sweden,suécia,ARN
europe,sweden,estocolmo,ARN
europe,sweden,malmo,ARN
europe,denmark,dinamarca,CPH
europe,denmark,copenhague,CPH
europe,denmark,copenhagen,CPH
europe,ukraine,ucrania,KPB
europe,ukraine,kiev,KPB
europe,romenia,romenia,OTP
europe,romenia,bucareste,OTP
europe,greece,grecia,ATH
europe,greece,atenas,ATH
europe,greece,mykonos,ATH
europe,greece,santorini,ATH
asia,israel,israel,TLV
asia,israel,tel aviv,TLV
asia,israel,jerusalem,TLV
asia,turkey,turquia,IST
asia,turkey,istambul,IST
asia,UAE,dubai,DXB
asia,UAE,abu dhabi,DXB
asia,qatar,qatar,DOH
asia,qatar,catar,DOH
asia,qatar,doha,DOH
asia,india,india,DEL
asia,india,delhi,DEL
asia,thailand,tailandia,BKK
asia,thailand,bangkok,BKK
asia,thailand,bancoque,BKK
asia,thailand,maya bay,BKK
asia,thailand,koh phi phi,BKK
asia,malaysia,malasia,KUL
asia,malaysia,kuala lumpur,KUL
asia,singapore,cingapura,SIN
asia,singapore,singapura,SIN
asia,maldives,maldivas,MLE
asia,indonesia,indonesia,CGK
asia,indonesia,jacarta,CGK
asia,indonesia,bali,CGK
asia,china,china,PEK
asia,china,pequim,PEK
asia,china,shanghai,PVG
asia,china,xangai,PVG
asia,china,hong kong,HKG
asia,japan,japao,NRT
asia,japan,toquio,NRT
asia,japan,tokyo,NRT
asia,south korea,coreia do sul,ICN
asia,south korea,seul,ICN
oceania,australia,australia,SYD
oceania,australia,sidney,SYD
oceania,australia,sydney,SYD
oceania,new zealand,nova zelandia,AKL
oceania,new zealand,auckland,AKL
south america,brazil,noronha,FEN
south america,brazil,recife,REC
south america,brazil,porto de galinhas,REC
south america,brazil,ipojuca,REC
south america,brazil,macaraipe,REC
south america,brazil,carneiros,REC
south america,brazil,boa viagem,REC
south america,brazil,tamandare,REC
south america,brazil,olinda,REC
south america,brazil,itamaraca,REC
south america,brazil,paraiba,JPA
south america,brazil,joao pessoa,JPA
south america,brazil,pitimbu,JPA
